gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
ARL10,-0.2327053783614761,-1.0875583664408588,0.28005332425993257,0.33957172079857034,False,0.33793896571986753,False
TUBB8,0.18044121325828621,1.0874421674709427,0.28010433595348366,0.33961280360896323,False,0.33799023551406027,False
IQCK,0.10183814884302489,1.0873162921983157,0.2801596028301578,0.33965904028072574,False,0.33804149323458094,False
LOC653566,0.07196672920575331,1.0871733277705853,0.2802223820363916,0.3397143785161734,False,0.338112098484831,False
MTNR1B,-0.027765853658536583,-1.0869739750923004,0.28030993896850337,0.3397997462543288,False,0.33820205541098275,False
NETO2,-0.33690562851782424,-1.086832180270842,0.2803722276552564,0.3398544745349177,False,0.33826716681584723,False
ABLIM1,-0.09885165728580425,-1.0866333681427083,0.28045957946006994,0.33993957463931934,False,0.3383571133584049,False
LOC144742,0.04713721075672295,1.0855478403993184,0.2809368583852468,0.34049725848795104,False,0.33887621290415415,False
RAB10,0.0613631019387082,1.0845796077616274,0.28136303941768526,0.34099294697078236,False,0.33929295126417924,False
MGC16275,-0.12238430268918066,-1.084239988923911,0.2815126332054838,0.3411533903381371,False,0.3394416582595057,False
MYADML,0.025989743589743586,1.082935399269865,0.28208778425317477,0.3418294976226051,False,0.3400731148705386,False
KRTAP5-10,0.12146754221388367,1.081254855743114,0.28282987698131706,0.34270780717709276,False,0.3409262891644075,False
MED31,-0.11721688555347232,-1.081130790855816,0.28288471481099414,0.3427533065967591,False,0.3409768428764622,False
GFRA4,0.02609230769230769,1.0810146313079296,0.28293606506131663,0.342794575037012,False,0.3410283715118574,False
CFHR3,-0.23947004377736048,-1.0806424793649787,0.2831006243209014,0.34297298978222984,False,0.34120446525846576,False
TTTY6,-0.028882926829268296,-1.080503573835335,0.2831620629124048,0.34302646091294986,False,0.3412592774980677,False
FBXO15,-0.17524634146341467,-1.0803937937331762,0.28321062569634237,0.3430643285303161,False,0.3412970574592784,False
TMPRSS11B,0.025661538461538458,1.079934904465132,0.28341368410288104,0.3432893267976368,False,0.3414794938254133,False
C14orf145,0.17233889931206914,1.079733805608783,0.2835027019600053,0.3433761725859286,False,0.3415815599549721,False
PPFIA3,0.1704695434646677,1.0796197495361162,0.2835531982754498,0.3434163536352515,False,0.34163721055645263,False
