gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
RBMXL3,-0.0017033702882483376,-0.09686923224193984,0.9229588466805504,0.9350424138530874,False,0.9363959826158991,False
PDE4A,-0.012469889135255485,-0.09644110719376345,0.9232982755665133,0.9353386381840584,False,0.9366924196690134,False
YLPM1,0.009205853658539098,0.09603379648442227,0.9236212153887604,0.9356181290972024,False,0.9369601134018581,False
SNORA49,-0.002329800443458978,-0.09581323952972391,0.9237960911899773,0.9357476119541119,False,0.9370775801449216,False
PGAM1,0.008846385809313517,0.0953754334277383,0.9241432311012419,0.9360515654940612,False,0.9373457838164002,False
SDS,-0.02491614190687308,-0.09504801150944808,0.9244028560626131,0.9362540988619685,False,0.9375971261215209,False
ZSWIM2,0.0017686474501108652,0.09500451677124891,0.924437345263419,0.9362540988619685,False,0.937610805567607,False
GAPVD1,-0.005092660753883038,-0.0946704647597827,0.9247022369526827,0.9364746848438154,False,0.9378408067128201,False
C11orf9,-0.02639317073170666,-0.09425136320259972,0.9250345819119918,0.9367635569041542,False,0.9381294157961775,False
FBXL8,0.013253237250552274,0.09366455556535738,0.9254999389533161,0.9371520582247647,False,0.9385178144181088,False
SEL1L2,-0.006211352549889096,-0.09364875884041923,0.9255124666130828,0.9371520582247647,False,0.9385185173874294,False
TMEM60,0.007339113082041493,0.09258845279730034,0.9263533893128695,0.9379500931544192,False,0.9392751740256453,False
BTF3L1,0.006296718403547619,0.09253609294861091,0.926394917772369,0.9379500931544192,False,0.9393052721893773,False
ACPP,-0.02420199556541025,-0.09229304173578157,0.9265876929898882,0.9380528092042171,False,0.9394677551375968,False
FGF5,-0.02478833702882488,-0.09228924209883596,0.9265907066931985,0.9380528092042171,False,0.9394677551375968,False
PSMD2,-0.005034345897998449,-0.09203726445651159,0.9267905665428126,0.9382053117677931,False,0.939634352967415,False
ITGA2B,-0.016739889135255037,-0.09198036297733478,0.9268356994514035,0.9382053117677931,False,0.9396440728340016,False
TNFRSF1B,-0.01237917960088808,-0.09139550164850435,0.9272996113917847,0.9386271375654514,False,0.9400302745981605,False
BCAS2,-0.005526563192907119,-0.09105217312946015,0.9275719511720878,0.9388550179641343,False,0.9402342401931496,False
HSCB,0.008285166297121727,0.09047338506099477,0.9280310848059764,0.9392719315759811,False,0.9406635712298618,False
ZDHHC17,-0.007516518847006992,-0.09028170098454831,0.9281831468532249,0.9393780275557295,False,0.9408056784004108,False
MDH1B,0.016112616407982117,0.09000096809650997,0.9284058556693358,0.9395556079434166,False,0.9409833083431446,False
TCEB3B,0.006591374722838189,0.08990797800712065,0.9284796270884572,0.9395824518577319,False,0.9410219988833184,False
DNM1,0.017291574279378885,0.08980287092537481,0.9285630119753067,0.9396190209715017,False,0.941070429414565,False
C15orf32,0.0017869401330376945,0.08941829341735304,0.9288681166406089,0.9398799346510526,False,0.9413555835258759,False
LIPN,-0.00864458980044347,-0.08923662930891878,0.9290122435834145,0.9399779439401355,False,0.9414775853648261,False
