gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
NCRNA00152,1.2226588617886147,6.733152862376442,1.77564016466651e-09,6.749349276642942e-09,True,6.6485064975785135e-09,True
CKMT1A,-1.506163577235771,-6.733080553428256,1.7762179733975765e-09,6.750244446984045e-09,True,6.650355987079052e-09,True
FIP1L1,0.42999447154471504,6.732571476317839,1.7802912011556332e-09,6.764420517685759e-09,False,6.664033485152758e-09,False
PCDHB4,-1.3979971273712728,-6.730652239902933,1.795730805461391e-09,6.821770657618691e-09,True,6.719290166854305e-09,True
C4orf12,-1.1551601084010836,-6.728645624655379,1.8120152542420172e-09,6.882307552706583e-09,True,6.7783046095475915e-09,True
SASH3,-1.5026684010840112,-6.727477914488057,1.8215589438426989e-09,6.917223641936841e-09,True,6.81271979260995e-09,True
DPP8,-0.5553071002710013,-6.726984365498756,1.8256076790903504e-09,6.930398025895183e-09,False,6.827218305318361e-09,False
TMEM211,2.3328360975609743,6.726969334490474,1.8257311229475393e-09,6.930398025895183e-09,True,6.827357993786564e-09,True
TREH,-2.575624932249323,-6.7262873139538994,1.8313410055998944e-09,6.950355009705527e-09,True,6.846399241413002e-09,True
FERMT2,-1.7842763143631428,-6.725838247409925,1.835044075177961e-09,6.9627354235567325e-09,True,6.85959629214768e-09,True
KCNN1,-1.0870828184281853,-6.725806122487082,1.835309266310745e-09,6.9627354235567325e-09,True,6.8602642371562655e-09,True
SNX9,-0.43703371273712754,-6.725421329007011,1.8384886888260424e-09,6.9734558460568486e-09,False,6.8718248092878575e-09,False
CD52,-1.51810233062331,-6.723618606264327,1.8534568367359959e-09,7.028878619314199e-09,True,6.924182258362136e-09,True
HECTD2,-1.220226666666667,-6.723000628228402,1.8586157024839289e-09,7.0470874164551195e-09,True,6.941165983978597e-09,True
FBLN7,-1.167721246612465,-6.722924228727791,1.8592544712317156e-09,7.048154204669249e-09,True,6.9432245520135604e-09,True
ULK4,0.9645814092140919,6.72161560978045,1.870229545740161e-09,7.088396433210834e-09,False,6.9828947220046e-09,False
CREBL2,-0.4801702439024389,-6.719184508486051,1.8907893128760026e-09,7.164943360859872e-09,False,7.057333066706759e-09,False
KIAA0494,-0.4455589159891584,-6.7186215693497155,1.895581922460504e-09,7.1817244017139555e-09,False,7.073556784246555e-09,False
INSC,-1.3647908943089444,-6.717393737679522,1.9060769304667605e-09,7.220099321706591e-09,True,7.1117160618083266e-09,True
ZSCAN23,-1.671344607046071,-6.716972972183698,1.9096866948497097e-09,7.232383641720046e-09,True,7.124849155455466e-09,True
PHF20L1,0.5762844444444433,6.7167148111890365,1.911904821138676e-09,7.238455945765088e-09,False,7.132789195821685e-09,False
C15orf37,-0.6612084010840116,-6.716700926657968,1.9120241897307478e-09,7.238455945765088e-09,False,7.132898971794487e-09,False
ITGA3,-0.996979132791326,-6.715563622473757,1.921826982906136e-09,7.27417046121094e-09,False,7.1681199817697394e-09,False
SFXN4,0.5152890514905142,6.714314564372479,1.932650412170048e-09,7.3137336649382735e-09,False,7.207133842129854e-09,False
MIPEP,0.6172601084010836,6.7132557286537775,1.9418728040084954e-09,7.347224039725159e-09,False,7.2411849743306404e-09,False
GPR125,-0.5629596747967458,-6.713101444661187,1.9432202430244445e-09,7.350911795979675e-09,False,7.2451875013075e-09,False
MORN5,-3.116046287262872,-6.711693021209715,1.955563620533216e-09,7.396186152074228e-09,True,7.287782770806681e-09,True
EHD2,-1.5980783739837392,-6.710557435178876,1.9655724111699006e-09,7.432615138690401e-09,True,7.3230176874667756e-09,True
NCRNA00093,-1.700853170731706,-6.709916483453512,1.9712440045674696e-09,7.452632624630081e-09,True,7.3417336466547045e-09,True
GCK,-1.1407040108401076,-6.709804991081747,1.972232222266798e-09,7.454939509890983e-09,True,7.3443794212362025e-09,True
