gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant
ZCCHC17,0.05936488145999519,0.9283170762930716,0.353928421700789,0.413198139926681,False
GAGE12J,0.1287600375234522,0.928276711360325,0.3539493225019424,0.41319848129047715,False
CFLP1,0.09103025754732985,0.9275663357936043,0.35431728035829385,0.41354596058817095,False
OR7A5,0.057604127579737346,0.9275576680921599,0.3543217715224287,0.41354596058817095,False
POLR2J4,0.08059850758997111,0.927550477083807,0.35432549756636933,0.41354596058817095,False
TMPRSS7,0.12699923247484146,0.9275427929557549,0.3543294791493361,0.41354596058817095,False
MYADML,0.01379160839160839,0.9273203213234159,0.35444476664121854,0.41365643603937324,False
MARCH10,-0.09915243049633293,-0.9267954551123392,0.3547168529597297,0.41394988078939415,False
OBSL1,-0.24299785092956228,-0.926498107550349,0.3548710542558764,0.4141057291252661,False
DEFB124,0.023027545625106602,0.9254389918010755,0.35542064578468785,0.414722920792818,False
EHD3,-0.16457356302234594,-0.9253899954014986,0.35544608382287163,0.41472846721651396,False
BPESC1,0.05642612996759336,0.9253285455884172,0.35547798907762534,0.41474155839432,False
CLEC1B,-0.012684478935698445,-0.9246100148403744,0.35585119091341255,0.41515282077353205,False
PSMD9,-0.057481519699809525,-0.9242164584919711,0.35605570759453076,0.41536725067029395,False
C11orf88,0.08614162544772286,0.9238151715403708,0.3562643182275661,0.4155864312580114,False
DYDC1,0.039195377792938774,0.9237485483612558,0.3562989600451599,0.4156026615222209,False
C6orf182,0.06289153163909678,0.9236469653274784,0.3563517839196285,0.4156400970092235,False
C8orf31,0.1738472454374893,0.9235501406651623,0.3564021380240688,0.4156746476285602,False
ODF3B,0.16663780487804836,0.9228631987420031,0.35675951464061817,0.416067256197324,False
BRDT,0.06710889476377281,0.9222197116751305,0.3570944898537599,0.41643369519966766,False
ZNF280D,-0.06991190516800394,-0.9219973637897688,0.3572102820636807,0.41652374406997456,False
KRTAP4-12,0.03931888111888113,0.921977783895346,0.3572204798321145,0.41652374406997456,False
OTOL1,0.012832517482517482,0.9219517677359632,0.35723403007617366,0.41652374406997456,False
CCDC23,-0.06206689408152233,-0.9210605704803831,0.35769839717109325,0.41704092942259813,False
FCHSD2,-0.07434865256694856,-0.9209450407503573,0.35775862300813693,0.41708689331975496,False
OR52D1,0.025441139348456435,0.9205889296193903,0.3579443046600818,0.41727910392666084,False
APOF,0.11576585365853659,0.920218910507684,0.35813730266593335,0.41747034900232743,False
CCNK,-0.05200102336687529,-0.9201945739418131,0.35814999866279473,0.41747034900232743,False
ABTB1,-0.11193567286372641,-0.9200748483309864,0.3582124617394284,0.41751888488986977,False
ZNF771,-0.09038879413269374,-0.9197349276236492,0.3583898422100678,0.4177013507127745,False
TNFSF18,0.1426712348626984,0.9192717269503551,0.3586316430641962,0.41795887255505315,False
NPTX2,0.3682407214736507,0.9192120435043168,0.3586628066179914,0.417970896407482,False
CATSPER3,0.11646794303257613,0.9190701272918921,0.3587369146630331,0.41803296169904763,False
DISC1,-0.13060758997100308,-0.9190140698068328,0.3587661903088826,0.4180409372675079,False
OR2F2,0.013443706293706293,0.9189771758038712,0.35878545877801876,0.4180409372675079,False
TRAPPC6B,-0.06296496674057295,-0.9188127193732616,0.35887135666708125,0.4181167238755871,False
SYNPR,-0.31018704588094814,-0.918186416775035,0.3591986021565437,0.4184736765391459,False
PHF15,-0.09379080675421747,-0.9180535075204692,0.35926807197193344,0.4185302912693781,False
ALMS1P,-0.10646196486440418,-0.9179355872239622,0.3593297143681802,0.41857778137822527,False
MAPK11,0.15009733924612068,0.9176387642818237,0.3594849070081609,0.4187342349104529,False
CCDC102B,-0.15438302916595603,-0.9170628319203746,0.3597861515002838,0.41906078410483855,False
SPINK6,-0.15427184035476693,-0.9167917667538865,0.35992798868757925,0.41920163654870546,False
FAM3C,0.08317945590994569,0.9166527408389259,0.36000074888083555,0.41926202457369616,False
GPR176,0.19840891181989662,0.9150692769071488,0.36083012044750895,0.42020351483838964,False
GBE1,-0.07410243049634424,-0.914834700397364,0.3609530870175559,0.4203203104406673,False
TREX1,-0.08773765137301304,-0.9147979763034885,0.36097234042283544,0.4203203104406673,False
LGTN,0.06688226164079936,0.9140656916974529,0.361356391665287,0.42074306927346133,False
TRHR,-0.029343544260617423,-0.9126403682392209,0.36210464918404045,0.421589815698276,False
GIGYF2,0.058067303428277484,0.9124142517908722,0.36222344396731426,0.42170363787856524,False
TPRX1,0.012156643356643357,0.9121263904164096,0.3623747131612702,0.4218552516334824,False
ARHGAP1,-0.06425786286884794,-0.9120537139594581,0.3624129104287748,0.42187522376317554,False
COMMD3,-0.06613553641480863,-0.9119779409727302,0.3624527378668311,0.42189709110188467,False
TMSB4Y,-0.47886826709875496,-0.9118623304357968,0.36251350983509073,0.4219312268863229,False
SMPD2,0.07492077434759814,0.9118303743816243,0.3625303090222279,0.4219312268863229,False
CXorf59,0.047584803001876216,0.9118020568684226,0.3625451958502529,0.4219312268863229,False
ATP6V0E2,0.12637709363807303,0.9114973321340273,0.3627054173292552,0.42209319272456713,False
CPN2,-0.13818953607368256,-0.9113047821412285,0.36280668131451005,0.42218653281229984,False
NOVA2,0.141401773835919,0.9112317425387764,0.36284509823023575,0.4222067331853187,False
RRAGB,0.09687450110864315,0.9111189326562537,0.3629044382974761,0.4222512759902737,False
LOC285033,-0.06790126215248282,-0.9098447665730375,0.3635750967261164,0.4230070614146483,False
CXCR1,-0.27735854511341973,-0.9097225141695156,0.3636394853109978,0.42305742604650726,False
COX7B2,0.1008284154869521,0.9094369208695932,0.36378993112022506,0.4232078978219038,False
C2orf64,0.06759379157428569,0.908616269003734,0.3642224544981451,0.4236864825184387,False
TMUB1,0.06782220706123354,0.9084221721187743,0.3643248001854186,0.4237809504970495,False
NOSIP,-0.06998409517311543,-0.9081903461198214,0.3644470637865091,0.4238523610013472,False
RWDD1,0.06546349991471878,0.9081797972487854,0.3644526278087056,0.4238523610013472,False
SCARNA8,0.01161993006993007,0.9081736238728566,0.36445588399238055,0.4238523610013472,False
MIF4GD,0.060583259423506064,0.9081454382010219,0.3644707509239016,0.4238523610013472,False
SLC17A2,-0.018801842060378646,-0.9080445700561472,0.3645239583739609,0.4238896511656372,False
USP54,0.08574918983454793,0.9077697939461905,0.3646689261540856,0.4240336350628902,False
BTN3A1,-0.11210109159133275,-0.9075343099892951,0.36479319277241584,0.42415353253809657,False
ADAMTS3,0.16792213883677398,0.9073329801603192,0.3648994570782019,0.42425248561426204,False
OR52B6,-0.023519972710216608,-0.9070186702840666,0.3650653924442551,0.42442080009899774,False
SNORA79,-0.008939953948490533,-0.9069745399482939,0.3650886942084398,0.42442328050554984,False
GCM2,0.035331954630735116,0.9067872100330058,0.3651876188114126,0.42451366866702356,False
IGDCC4,-0.1742847688896454,-0.9065061321716893,0.365336081082412,0.4246616282510499,False
STAU2,0.07324129285349201,0.9061339026836015,0.36553274690878074,0.42486559858093065,False
LOC348021,0.014545804195804195,0.9060300381553902,0.36558763512484055,0.42490476402834926,False
