"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","significant"
1.26645902777778,2.78453282674772,4.12983160340577,4.61006506178698e-05,9.51297976866887e-05,0.664743407750838,"GRPR",TRUE
0.517909061653116,7.61905744680851,4.1272054303705,4.66037076115063e-05,9.6158202740123e-05,0.65442880668735,"PIR",FALSE
-0.891286060298103,6.85607142857143,-4.12630995327345,4.67764331731011e-05,9.65048912716075e-05,0.65091306760355,"CCR1",FALSE
-0.296929954268293,6.73760030395137,-4.12527609390479,4.69766092381636e-05,9.69081378275219e-05,0.646854879958421,"DET1",FALSE
-0.781455555555555,2.50232948328267,-4.12492698881078,4.70443871282886e-05,9.70382063441941e-05,0.645484751645356,"PCDHGB3",FALSE
-0.755926973238483,4.40514498480243,-4.12428173509428,4.7169906800374e-05,9.72873404271325e-05,0.642952607684648,"HIST1H2AE",FALSE
-1.46545530149052,2.46189665653495,-4.12397148508861,4.72303724973559e-05,9.74022649292534e-05,0.641735232801332,"GDF10",TRUE
-0.253125313346884,7.0435094224924,-4.12352998302197,4.73165456579936e-05,9.75701770147257e-05,0.640002986653763,"C1orf50",FALSE
0.35290462398374,11.2958939209726,4.12203543204449,4.76093676450716e-05,9.81641375668695e-05,0.634140313284665,"C20orf43",FALSE
-0.259564515582656,10.2744629179331,-4.12128073075605,4.77578885968288e-05,9.84604793023594e-05,0.631180575330718,"STX7",FALSE
0.648184798441734,5.22458601823708,4.12116717891226,4.77802731150646e-05,9.84967373282735e-05,0.630735297445661,"BCAN",FALSE
0.683892259485095,1.38699483282675,4.12089059604742,4.78348378206085e-05,9.85993193230012e-05,0.629650762184531,"FGF17",FALSE
1.10917611788618,1.05102857142857,4.12053837199022,4.79044110574298e-05,9.87328138750159e-05,0.628269718064202,"MYBPHL",TRUE
-0.303680792682927,8.63953221884499,-4.12037844190528,4.79360331343245e-05,9.87880706934032e-05,0.627642679319398,"ARID4A",FALSE
-1.25694391090786,2.66964285714286,-4.1190118875319,4.82070461378076e-05,9.93366111822934e-05,0.622285716888469,"NPR3",TRUE
-0.207600101626016,10.5799003039514,-4.11881203151956,4.82468033839503e-05,9.94085581566138e-05,0.621502405456702,"ARL8B",FALSE
-0.680423331639566,8.0488905775076,-4.11867527947524,4.82740253844627e-05,9.94546654433538e-05,0.620966442127654,"THBD",FALSE
0.194894300474255,9.33244802431611,4.1184791008501,4.83131024455838e-05,9.95251849496122e-05,0.620197600107889,"CNOT10",FALSE
0.259221197493225,9.04191215805471,4.11809680257597,4.83893394798385e-05,9.96722323187604e-05,0.618699432976515,"MLLT10",FALSE
0.693911432926829,3.84954346504559,4.11792900578822,4.84228372924957e-05,9.97312248811131e-05,0.618041903207472,"CCDC74B",FALSE
0.270594529132791,9.05364863221885,4.11698209478745,4.86122865281966e-05,0.0001001113694878,0.614331783330052,"TRIM37",FALSE
0.384324635840108,8.4439349544073,4.11690389342965,4.86279638510471e-05,0.000100133610618054,0.614025414675361,"ARL5B",FALSE
-0.687615320121951,1.53928753799392,-4.11684386789076,4.86400006647416e-05,0.000100148351584309,0.613790256798651,"LIMS3",FALSE
0.213899017615176,8.90962583586626,4.11598134225356,4.8813275012534e-05,0.000100495039711926,0.610411541487713,"BUD13",FALSE
-0.394508909214092,10.898520668693,-4.11556540310229,4.88970437242505e-05,0.000100657405761442,0.608782438361342,"ATP5I",FALSE
0.221390447154472,12.2066519756839,4.11543971595199,4.89223836056689e-05,0.00010069947217008,0.608290190442115,"BRD2",FALSE
-0.219399076897019,8.31737659574468,-4.11491559282703,4.90281873354627e-05,0.000100907136440807,0.606237632549422,"RABIF",FALSE
-0.720549881436314,7.23271094224924,-4.11474445210364,4.90627823521375e-05,0.000100968215887067,0.605567466572889,"GPRC5B",FALSE
-0.422198162262873,10.0039869300912,-4.11369675509719,4.927507497357e-05,0.000101394937276475,0.601465362137927,"RRAS",FALSE
-0.943708341802168,1.5459990881459,-4.1129625673571,4.94243628397818e-05,0.00010169193917626,0.598591318730134,"C1orf168",FALSE
