"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-2.60203581630411,9.07331447368421,-19.361607614863,8.85141692999708e-43,1.67081589746664e-40,86.8224495722123,"PHLPP2"
-4.35581553504724,1.96902302631579,-19.3612141717452,8.87086862269188e-43,1.67081589746664e-40,86.820264424335,"CMA1"
-5.65441298615689,2.65309539473684,-19.3592461311816,8.96881403430089e-43,1.6739068374927e-40,86.8093338116225,"MYOC"
-3.28707996044825,2.89125197368421,-19.3553568099151,9.16558247255165e-43,1.69521989334671e-40,86.7877308644544,"SLC17A7"
-10.6617579652824,5.93089144736842,-19.3434228435072,9.79681514138282e-43,1.79579120404098e-40,86.7214326899144,"CA1"
-1.92760333992529,10.0087447368421,-19.3383176502016,1.00800090357747e-42,1.83135031419871e-40,86.6930657521689,"GNA11"
-4.78653821138211,2.78207236842105,-19.2866888662291,1.344925456388e-42,2.42204558067067e-40,86.4060075768348,"AMPD1"
4.69150696550209,7.86879078947368,19.2728599417355,1.45300710998452e-42,2.59393356243323e-40,86.32906150031,"GRIN2D"
-4.66897835640518,2.20857565789474,-19.2486565816387,1.66358808307397e-42,2.94426408150937e-40,86.1943330120605,"ANGPTL7"
-2.44860980004395,1.04636315789474,-19.1437047136688,2.99423636514939e-42,5.25398910910402e-40,85.6092693125019,"SYT10"
-7.66766921555702,3.39179342105263,-19.1255850200241,3.31445776427211e-42,5.76659473733105e-40,85.5081202827838,"CLDN8"
-4.52732799384751,3.99778355263158,-19.1197923008467,3.42391561756931e-42,5.90697375031076e-40,85.4757751250295,"GFRA2"
-6.95964043067458,5.11352368421053,-19.0992426322842,3.84233085481409e-42,6.5735877041111e-40,85.3609969706698,"BMP3"
-1.96835669083718,9.61735723684211,-19.0911100511758,4.02176784578443e-42,6.82371023751689e-40,85.3155587119137,"PEX26"
-2.22423904636344,0.966300657894737,-19.0832549432516,4.20306674188177e-42,7.07286559105186e-40,85.2716629301228,"SLC30A8"
2.65691683146561,5.9033875,19.0220909991625,5.92632412044787e-42,9.89166131648738e-40,84.9296050217758,"PRR7"
4.99813067457702,6.60856776315789,19.0141135049501,6.19815580248436e-42,1.02619466633068e-39,84.8849567923604,"CPNE7"
-4.27297936717205,2.20536644736842,-18.9957174815811,6.87368158550998e-42,1.12893346360416e-39,84.7819682865876,"MYOT"
2.02451362337948,9.76352039473684,18.9134556679598,1.09222118946138e-41,1.77962706505096e-39,84.3209192466728,"GTF2IRD1"
6.74259318831026,6.95092105263158,18.8499149248995,1.56281409804774e-41,2.52634436479685e-39,83.9642217737365,"COL11A1"
-5.4560081300813,2.95031973684211,-18.8176572069845,1.8749131471669e-41,3.00718491494816e-39,83.7829462994052,"NRXN1"
1.46621760052736,8.9786125,18.807266153491,1.98822100685014e-41,3.16419978842119e-39,83.7245253873503,"BYSL"
1.15572819160624,12.2408881578947,18.7950183230853,2.13063550138524e-41,3.364765141803e-39,83.6556481458895,"CCT6A"
1.46106884201274,10.6693598684211,18.7485182195025,2.77107612907517e-41,4.34276281907735e-39,83.3939805410611,"NOP58"
-5.16290472423643,1.76743552631579,-18.7364947909179,2.96605928805345e-41,4.61312099876798e-39,83.326278410255,"KRT24"
-4.56809204570424,2.35638092105263,-18.7271728110611,3.12666456735887e-41,4.82634763668253e-39,83.2737754942215,"ABCB11"
1.34398198198198,10.1470605263158,18.6985049749685,3.67738274747951e-41,5.63407968699659e-39,83.1122466011541,"RUVBL1"
-3.43123895847066,1.39540723684211,-18.6624079098441,4.51145979321876e-41,6.86076070776157e-39,82.9087141480687,"NPY"
-3.93781344759394,1.79193552631579,-18.6594656711187,4.58729169502534e-41,6.92478665432869e-39,82.892117356051,"HTR3E"
