"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-5.33431216501054,6.59728114754098,-17.7565092370422,1.61476599854289e-35,3.45324436980058e-33,70.310654664891,"ABCG2"
-2.52095323697681,1.95184016393443,-17.7474006992611,1.68917300950804e-35,3.55438442122703e-33,70.2658664443323,"HMGCLL1"
-3.93321496537188,2.79969098360656,-17.7465034906195,1.69668618256332e-35,3.55438442122703e-33,70.2614541455561,"DMRTA1"
-5.10371264679313,3.38234508196721,-17.6918913499336,2.223321710123e-35,4.61058532412376e-33,69.992689059709,"TMEM72"
-3.08390141523637,3.24417704918033,-17.6667746921119,2.51797044407418e-35,5.16939332168428e-33,69.8689538620595,"SLC17A7"
-2.78780445648901,1.67101967213115,-17.6636272636426,2.55756084385747e-35,5.19868555687067e-33,69.8534426475094,"LRRC7"
-1.99965585666968,9.72713524590164,-17.6138496954305,3.27379810142291e-35,6.58932108060906e-33,69.6079603729146,"PEX26"
-10.1564619692864,6.97355573770492,-17.5819045388674,3.83650702237408e-35,7.64694069605241e-33,69.450254206791,"CA1"
4.20127280939476,3.33216721311475,17.5726601316275,4.01680070065725e-35,7.92931907543205e-33,69.4045924292405,"OTX1"
-2.98959644685336,9.78009180327869,-17.5343994841801,4.85819396041696e-35,9.49892590546288e-33,69.2154926084901,"DHRS11"
-3.81084122252334,3.08101229508197,-17.5295301168742,4.97728171667204e-35,9.6399616644601e-33,69.1914128711565,"ASPA"
-2.24689888587775,1.28549672131148,-17.4936346154321,5.95062837645824e-35,1.14174206138961e-32,69.0138115498313,"GSG1L"
2.27759075579645,9.51812213114754,17.485017514279,6.21147718713198e-35,1.18075580233166e-32,68.9711521297308,"ANLN"
2.98734381210479,10.2674491803279,17.4615499129792,6.98163955095971e-35,1.31498220166241e-32,68.8549268147807,"SLC6A6"
-5.77266254140319,3.64276475409836,-17.3660785912035,1.12403054746785e-34,2.09784973995591e-32,68.3813783042245,"FAM5C"
-3.89047976513099,2.85141557377049,-17.3592067379483,1.16327857461298e-34,2.15154136367607e-32,68.3472486823936,"CCL23"
2.43341376091539,6.33364180327869,17.3362651694534,1.30456094578726e-34,2.39130680509039e-32,68.2332643188422,"FUT1"
-3.31533926528154,1.61125163934426,-17.3136737020953,1.46053893298187e-34,2.65352781363874e-32,68.1209545031281,"CMTM5"
-3.62721457392352,2.1279868852459,-17.2704326590362,1.81330755264217e-34,3.25753523785921e-32,67.9058091733961,"PMP2"
-1.92137576031316,11.6202959016393,-17.2691785559999,1.82472748345743e-34,3.25753523785921e-32,67.8995658813538,"PDCD4"
6.75491671183378,6.51187540983607,17.2650878726227,1.86248228047539e-34,3.29627251880688e-32,67.8791998849073,"COL11A1"
-1.85653661547727,9.54491557377049,-17.2492579172748,2.01613130122514e-34,3.53770731744891e-32,67.8003685465564,"CITED2"
2.56828894911171,9.75218032786885,17.2298157416694,2.22238731416134e-34,3.86657725082477e-32,67.703505604312,"MACC1"
-2.14417729599518,0.937645901639344,-17.1920131168202,2.68612607147854e-34,4.63413178550037e-32,67.5150328771853,"CDH10"
4.15742625715146,7.50688524590164,17.1816469121242,2.82950130816511e-34,4.84080515471914e-32,67.4633186550389,"GYLTL1B"
-1.81015633845227,9.01371147540984,-17.165629001396,3.06631960642462e-34,5.20260673718161e-32,67.3833830369596,"SLC25A20"
5.15017181571816,6.37799344262295,17.1599123004402,3.15557900606138e-34,5.2947004798534e-32,67.3548466688724,"CPNE7"
2.7142054200542,9.22089344262295,17.1588671390343,3.17217807609336e-34,5.2947004798534e-32,67.3496290359899,"TNFRSF12A"
-5.53127488708221,6.05393032786885,-17.154435924801,3.24353410029471e-34,5.37014153863309e-32,67.3275060978504,"SPIB"
-3.28612535380909,8.93487459016393,-17.1475101142548,3.35830547600314e-34,5.51568091378756e-32,67.2929238940862,"CLDN23"
-4.14771111111111,3.25749180327869,-17.1356534985857,3.56434337058633e-34,5.76434204713889e-32,67.2337070453503,"FAM151A"
1.83687470641373,11.1500155737705,17.135568697061,3.56586186062659e-34,5.76434204713889e-32,67.2332834478906,"MET"
-3.52283655525444,3.29290655737705,-17.1171274821025,3.91201037097045e-34,6.27449788406432e-32,67.1411451434621,"ENPP6"
-2.91358157181572,1.56896557377049,-17.1139180198652,3.97561523088512e-34,6.32708377442415e-32,67.125105270188,"CHST9"
2.62419924721469,5.70543524590164,17.0522936208461,5.42002186435991e-34,8.55946529810069e-32,66.8168758224583,"PRR7"
1.53976067449563,9.89841475409836,17.0390850635581,5.79264578311462e-34,9.07809297155292e-32,66.7507481441114,"RRP12"
-1.82063712737127,9.83080901639344,-17.032080918591,6.00057548043442e-34,9.33271322828171e-32,66.7156735514596,"SPPL2A"
-4.38821595904848,4.26281967213115,-16.9999866011856,7.05353796531462e-34,1.08879048442037e-31,66.554876720512,"PRKG2"
3.9165290575128,7.25647213114754,16.9958903507823,7.20066354866881e-34,1.10320613921023e-31,66.5343446983493,"VWA2"
-1.89678822643782,8.8062106557377,-16.9749929520522,8.00064265824776e-34,1.21669032425057e-31,66.4295660978108,"PXMP2"
-3.28058873833183,1.84441639344262,-16.9686338971316,8.26136669883252e-34,1.24710189946347e-31,66.3976712739525,"STMN4"
-1.6106854561879,9.11588852459016,-16.9410912688932,9.49288525197325e-34,1.42254696513147e-31,66.2594687441577,"GRAMD3"
-6.15325293586269,6.63455573770492,-16.9375516747691,9.66399012416923e-34,1.43769360325503e-31,66.2417010243934,"SCARA5"
7.11251737428485,6.71905245901639,16.9167621180591,1.07334045243024e-33,1.58530068261819e-31,66.1373120742335,"MMP7"
-1.27416985847636,9.7044762295082,-16.8982102740853,1.17877746013223e-33,1.72859294689391e-31,66.0441137436421,"KIAA1737"
-4.32173420656429,6.47898114754098,-16.8923540172928,1.21417589265246e-33,1.76787454440816e-31,66.0146849535181,"USP2"
1.12546507076182,9.55700573770492,16.8899917487016,1.2287553078923e-33,1.77650327260767e-31,66.002812902903,"WDR75"
-4.40550421559771,2.69319262295082,-16.8803216123823,1.29029441056419e-33,1.84194959141986e-31,65.9542064754365,"ANGPTL7"
-1.51033809093646,10.1606491803279,-16.8800653631949,1.29196659115665e-33,1.84194959141986e-31,65.9529182943627,"CPT2"
-3.8230780788919,2.12930245901639,-16.8678395656561,1.37432991684848e-33,1.9458615995103e-31,65.8914489436207,"HTR3E"
-6.22758024691358,10.4269950819672,-16.8449436063596,1.54303834213193e-33,2.16091422589769e-31,65.7762817783813,"CA2"
-4.68774068051792,3.16515245901639,-16.8444022985293,1.54726931907921e-33,2.16091422589769e-31,65.7735582007156,"AMPD1"
1.44529412827462,9.55580491803279,16.8035520942735,1.90263069272488e-33,2.63925730551634e-31,65.567916463404,"DNAJC2"
-4.71680439626618,8.18409508196721,-16.7477766353894,2.52401522489891e-33,3.47772030652179e-31,65.2868064469079,"PKIB"
-1.23918864799759,12.1102795081967,-16.7400200348757,2.62526982599425e-33,3.59311930184413e-31,65.2476824572875,"ACO2"
-1.82129503161698,10.2071819672131,-16.7259761389433,2.81909843796267e-33,3.83285370406448e-31,65.1768266756329,"GNA11"
-1.93663667570009,11.6757295081967,-16.7213056796574,2.88669419274761e-33,3.89893630112555e-31,65.1532573703888,"RETSAT"
-6.12197130382415,4.6536368852459,-16.6984064379221,3.24244012729589e-33,4.35080364793364e-31,65.0376581927724,"PLP1"
-4.08228903944595,2.94771557377049,-16.6907163484223,3.37153423769277e-33,4.47727568573919e-31,64.9988228279563,"TEX11"
1.39213179765131,8.69805983606557,16.6902043442645,3.38031043005151e-33,4.47727568573919e-31,64.9962369204602,"RBM28"
1.99414019873532,5.92843442622951,16.6857945572123,3.45685451421471e-33,4.54930917800179e-31,64.9739636898979,"TTC26"
-1.36354107196628,10.0350713114754,-16.6551048606507,4.04005141894332e-33,5.28294621852907e-31,64.8188878442239,"MIER1"
-1.13280692562481,11.3194295081967,-16.6489076149726,4.16931715111792e-33,5.39042946185054e-31,64.7875589179155,"SDHD"
-5.44111845829569,3.16975901639344,-16.6486509151603,4.17476027488668e-33,5.39042946185054e-31,64.7862611217689,"MYOC"
1.38822330623306,8.82957704918033,16.6441309889978,4.27178006342745e-33,5.48122779388534e-31,64.7634084214522,"BYSL"
3.72802451068955,6.42364918032787,16.610740750925,5.0623054237023e-33,6.4552254874912e-31,64.5945098520546,"SIM2"
5.08719223125565,5.75283278688525,16.6044574911603,5.22674074704703e-33,6.6237646627701e-31,64.5627117779591,"INHBA"
-4.1334189701897,2.47874426229508,-16.5938127030585,5.51766019974958e-33,6.9495437975987e-31,64.5088299838543,"PHOX2B"
-6.99657738632942,8.5090631147541,-16.5760079309073,6.04108843926099e-33,7.56241132061148e-31,64.4186746805138,"GUCA2A"
-4.25265401987353,4.48044098360656,-16.5181316844495,8.11287940282305e-33,1.0094388735755e-30,64.1253470309901,"GFRA2"
-1.14975904847937,11.3848524590164,-16.4748550318857,1.01168683909109e-32,1.25120065099639e-30,63.9057449794665,"ATP6V0D1"
4.07783002107799,5.54854344262295,16.4535512568719,1.12791557188994e-32,1.38659321502399e-30,63.7975575720909,"S100A2"
1.70735757302018,9.5426368852459,16.4205852006888,1.33477858041871e-32,1.63113120571405e-30,63.630036278062,"PAQR4"
-2.19415203252032,5.03771229508197,-16.3778045482945,1.66111431211246e-32,2.0179098714597e-30,63.4124435940035,"CDKL1"
4.2332569105691,4.32621475409836,16.3554737035915,1.86217699023875e-32,2.24885256527068e-30,63.2987751970568,"SALL4"
3.14065712134899,5.05061721311475,16.3289927655616,2.1325441036855e-32,2.56030002623762e-30,63.1639035922044,"KIAA1257"
4.35654465522433,8.93287704918033,16.2718955311794,2.85739831210032e-32,3.41060391554765e-30,62.8728094025,"TRIM29"
1.26810463715748,10.2439139344262,16.2042402849671,4.04352361187259e-32,4.79847050588117e-30,62.5273785516488,"XPO5"
3.47004652213189,5.78075163934426,16.1745381369787,4.71014870476686e-32,5.55743407522205e-30,62.3755526916559,"FAM176A"
-8.7402645287564,7.0033106557377,-16.172974873885,4.7481453209563e-32,5.57025276795616e-30,62.367558960377,"CA4"
-6.13284673291177,5.45780655737705,-16.1538204761778,5.23949071437239e-32,6.11174683898098e-30,62.2695893063762,"ABCA8"
-1.08271957241795,10.3647598360656,-16.1510910572542,5.31354611625787e-32,6.16311309416802e-30,62.2556254703648,"STIM1"
-5.77498759409816,4.53739180327869,-16.1256043658406,6.05787422228914e-32,6.9869751563818e-30,62.1251912504923,"GBA3"
-2.70515411020777,1.59557213114754,-16.1215973270991,6.18407559557142e-32,7.0926855853118e-30,62.1046771953237,"CNGB1"
-2.40827178560674,9.37455081967213,-16.1126757478455,6.47462814838761e-32,7.38467310479987e-30,62.0589962214911,"PHLPP2"
-1.13640993676603,12.035293442623,-16.0777512599375,7.75017777845727e-32,8.79067125921148e-30,61.8800815424143,"NCOA4"
1.29465453176754,11.4203827868852,16.075391925436,7.84494278771077e-32,8.84926788086275e-30,61.8679896517041,"GARS"
-2.40299135802469,9.03257131147541,-16.0488814607617,8.99324718851434e-32,1.00891456164043e-29,61.7320744762263,"PLCD1"
