gene,log2FC,FDR_per_contrast
SALL4,3.995023810336008,4.355101582347771e-40
SLC4A10,-4.276304144635853,4.777846230390928e-40
ABCC13,-4.138051014838819,4.793191910430233e-40
HSD11B2,-2.793071780658368,4.815634755537361e-40
MEP1B,-5.185220868156234,5.4587996871547086e-40
SPINK2,-3.2496353487975425,5.604571255967277e-40
ARNTL2,2.4051312979703265,5.627737515332938e-40
GPR15,-4.826390516800271,6.5483624616262715e-40
PRPH,-5.026212476547845,7.015349144716357e-40
LIFR,-3.7857045539826,8.642569093115526e-40
PLAC2,-3.8308544516459135,8.723506944391385e-40
CDH19,-4.285918070953436,9.87158334425898e-40
C16orf89,-4.675354511342314,1.0146654027609718e-39
SLC4A4,-6.233530854511338,1.2289105045077848e-39
LMX1A,-2.955524356131673,1.4202303132041951e-39
CCR10,-2.628292947296606,1.4330377126521472e-39
SCNN1B,-6.0448286116322665,1.5005125092138242e-39
FJX1,2.5204113764284517,1.7474658583429197e-39
LRRN2,-4.336511291147877,1.8970590454817707e-39
WISP2,-5.189971482176357,1.8980235265467413e-39
MPZ,-2.97218460685656,1.8980235265467413e-39
UGT1A8,-5.507381229745865,2.2520037061591247e-39
SH2D6,-3.8398364148047066,2.5910559287375528e-39
SLCO4C1,-4.015240286542724,3.7877809394207886e-39
VIT,-3.2996733242367395,3.9070925730011626e-39
AQPEP,-2.7931259423503327,4.1219796450259214e-39
FAM40B,2.6343144976974235,4.1445231414763266e-39
MUSTN1,-2.877221396895783,4.2879503846997235e-39
TRIM29,4.153845514241851,4.3663006127827706e-39
C1orf170,2.689138700324062,4.480178851842741e-39
SULT1A1,-2.666461214395362,4.5641532819327556e-39
ITM2C,-2.7030138580931222,5.4011634205658966e-39
SLC7A11,2.711096571720957,6.705024082232537e-39
TNFRSF13B,-3.910799121610096,6.705024082232537e-39
FAM23A,-4.701597211325261,7.098660577271145e-39
ULBP3,2.0197798140883534,7.747802571493315e-39
S100A2,3.844424236738878,1.0551438467269161e-38
C14orf176,-3.06282112399795,1.1419224576255271e-38
TMCC3,-2.493684325430669,1.530179642979447e-38
RDH5,-2.565952157598504,1.593800349364834e-38
MT1H,-4.969239177895273,1.7949202412088255e-38
PPP2R3A,-2.2516232986525697,1.8780344061775695e-38
GRHL3,3.982704605150949,1.8866739107712163e-38
ATCAY,-3.2084228210813577,1.9856769826658944e-38
APLN,3.035699940303588,2.248239898021236e-38
SNORD1C,2.1165352123486287,2.472696904168667e-38
BEX1,-3.496233387344362,2.6388695744289763e-38
BCHE,-4.549629524134401,2.989111683598041e-38
OLFM3,-2.82907113252601,3.18856962215533e-38
ANKS1B,-2.77195494627324,3.2710316597017117e-38
ST6GALNAC6,-2.6858464864403864,3.870743871449904e-38
CNR1,-4.369764079822616,3.9092378382794997e-38
IGSF11,-2.77831115469896,3.951024375182387e-38
UNC5D,-2.35498412928535,4.173179431594762e-38
GLS2,3.000156984478933,5.804281681878828e-38
GSTM5,-3.4291479703223584,6.099774957251001e-38
HOMER1,2.261226599010742,6.23472623200465e-38
MSX2,4.258848456421628,6.417826684914569e-38
GDF15,2.9583207231792663,6.57729254383091e-38
PHLDA1,2.559509432031369,7.190893004953677e-38
CPEB1,-3.243075174825173,7.714549688777345e-38
PDK4,-3.3740360480982456,8.721267893414476e-38
ULBP1,2.830011538461536,1.159714848934006e-37
OSTBETA,-5.09842094490875,1.177476544267992e-37
KLK6,6.726767363124683,1.4357155259747027e-37
PLCE1,-2.37780210643016,1.698912129317046e-37
NBEAL1,-2.124537182329869,1.7121102326195713e-37
ANPEP,-5.047061598157947,1.898931327525309e-37
C1orf186,-3.1466267866280053,2.185044106651734e-37
KLB,-2.5936690772641966,2.432524406579751e-37
SCG3,-4.002729600886918,2.4386497459720853e-37
COL19A1,-2.576601287736654,2.474028878373118e-37
LGALS4,-2.171853505031553,3.7525099319150655e-37
NKX2-3,-3.1170403888794187,3.945685631987317e-37
G6PC,-2.9009339246119725,4.025113796258582e-37
ADH1B,-6.793664617090226,4.104290053920718e-37
HTR1D,4.213106396042983,4.487035771201891e-37
NEFM,-3.2933408323383926,4.487035771201891e-37
DUSP26,-3.0989461794303264,5.091652004806175e-37
LOC389493,-2.142158451304792,5.549918873646232e-37
ATP1A2,-5.488933438512708,6.411177241409371e-37
GRIN2A,-3.1166608306327825,6.780652233909911e-37
RECQL4,2.071342265052027,6.868772928490167e-37
C11orf86,-5.515025831485588,8.261326630511619e-37
GNG7,-3.0506581528227867,8.57979871300053e-37
PSAT1,2.5701194354426065,9.031825460050952e-37
CALY,-2.971408323383934,9.708151350237256e-37
CCBP2,-2.708420586730345,1.2913636321212837e-36
GDPD2,-4.584102242879075,1.9199900513509374e-36
P2RY14,-2.9771152055261805,2.3446958940692408e-36
SLITRK3,-3.811816433566434,2.556110086763731e-36
HTR7,-2.6741885724032066,2.7857154129649635e-36
SEMA6D,-3.699717124339072,3.154234237078285e-36
HSD17B2,-4.399378466655299,3.224148745670662e-36
TNXB,-4.323602618113592,3.5019711247046734e-36
FGFBP2,-2.793983259423502,3.567976137352929e-36
NLGN1,-3.2955751151287758,3.649399229143456e-36
MMP11,3.742647995906535,4.304237269085952e-36
BEST2,-6.140362510660075,4.679178116667404e-36
P2RY12,-2.9943503837625776,5.0261677075259473e-36
GFRA3,-3.912126761043836,5.1768142811297694e-36
GPR3,2.417758246631418,5.589909408158539e-36
MT1DP,-2.25672161009722,7.163521931089197e-36
ATP6V1G2,-2.2903983114446524,7.805553629850339e-36
GFI1B,-3.1828957103871724,7.974534003450899e-36
TRANK1,-2.140602703394171,8.539529485150344e-36
SULT2B1,3.1201887514924094,8.549921202921242e-36
RPH3A,-2.1370169196657005,8.793162576915097e-36
VWC2,-2.177002848371141,8.93035618415182e-36
CELSR1,2.55503415486952,9.097361753827826e-36
SEPP1,-3.595244908749791,9.753224485217204e-36
CTSG,-4.765506993006993,1.1429670921899534e-35
NKD2,3.7143285263516974,1.2125089043513257e-35
LDHD,-3.762099812382737,1.229772735227461e-35
ENHO,-3.096332099607711,1.2633071277114004e-35
P2RY1,-3.1182639519017537,1.5739439081640636e-35
FRMPD4,-2.538632176360225,1.5943777777711385e-35
GRIK3,-3.5822268974927534,1.6039711533814678e-35
SORCS1,-4.241344789356986,1.7493190295503053e-35
P2RX1,-3.033333899027803,2.0305195774818863e-35
PKNOX2,-3.0642127409176187,2.2202469621269325e-35
PYGM,-3.814913269657169,2.2636113964637058e-35
TRPM6,-5.239482133719936,2.3265477953194387e-35
C2CD4A,3.905965495480132,2.3271921151362556e-35
C1orf115,-2.463516911137648,2.6044545208611527e-35
EIF4E3,-2.1335305219171,2.9301157112185047e-35
